"","CustomerID","freq","Total_Sales","Total_Quantity","Country","Classification"
"2835",16205,97,751.48,515,"United Kingdom","Lead"
"436",12908,2,750,1200,"United Kingdom","Lead"
"3515",17146,35,749.78,212,"United Kingdom","Lead"
"3701",17411,40,749.24,300,"United Kingdom","Lead"
"1889",14923,44,749.1,418,"United Kingdom","Lead"
"1996",15074,42,748.87,455,"United Kingdom","Lead"
"3418",17006,43,748.58,264,"United Kingdom","Lead"
"2434",15656,47,748.5,343,"United Kingdom","Lead"
"3315",16859,52,747.81,827,"United Kingdom","Lead"
"950",13623,81,747.78,294,"United Kingdom","Lead"
"1365",14201,37,747.44,590,"United Kingdom","Lead"
"2878",16261,124,746.83,306,"United Kingdom","Lead"
"1258",14050,54,746.36,689,"United Kingdom","Lead"
"3436",17034,30,745.52,410,"United Kingdom","Lead"
"1794",14790,46,745.06,699,"United Kingdom","Lead"
"672",13236,36,744.85,416,"United Kingdom","Lead"
"761",13354,51,743.53,604,"United Kingdom","Lead"
"3214",16730,82,743.11,994,"United Kingdom","Lead"
"25",12374,33,742.93,342,"Austria","Lead"
"99",12465,47,742.19,479,"Belgium","Lead"
"1044",13753,35,741.26,512,"United Kingdom","Lead"
"1153",13900,43,740.95,430,"United Kingdom","Lead"
"3908",17692,46,740.94,672,"United Kingdom","Lead"
"4115",17974,179,740.79,519,"United Kingdom","Lead"
"2134",15252,44,740.78,522,"United Kingdom","Lead"
"209",12603,3,739.2,64,"Germany","Lead"
"1770",14756,38,738.96,416,"United Kingdom","Lead"
"484",12976,22,738.6,561,"United Kingdom","Lead"
"1971",15045,12,735.66,114,"United Kingdom","Lead"
"2104",15215,35,734.94,225,"United Kingdom","Lead"
"4242",18156,140,734.94,301,"United Kingdom","Lead"
"2947",16362,81,734.77,351,"United Kingdom","Lead"
"2790",16146,29,734.13,427,"United Kingdom","Lead"
"3683",17387,77,734.11,502,"United Kingdom","Lead"
"919",13575,46,732.07,449,"United Kingdom","Lead"
"1030",13736,191,731.9,497,"United Kingdom","Lead"
"2751",16099,39,731.9,434,"United Kingdom","Lead"
"1786",14778,35,730.86,306,"United Kingdom","Lead"
"100",12468,38,729.54,366,"Germany","Lead"
"555",13077,112,729.27,863,"United Kingdom","Lead"
"3887",17666,18,728.16,596,"United Kingdom","Lead"
"4049",17888,67,726.05,980,"United Kingdom","Lead"
"1850",14869,71,725.7,550,"United Kingdom","Lead"
"1263",14055,10,725.64,216,"United Kingdom","Lead"
"4155",18035,52,725.45,610,"United Kingdom","Lead"
"2784",16140,35,725.18,730,"United Kingdom","Lead"
"2381",15584,123,725.11,314,"United Kingdom","Lead"
"308",12723,69,725.07,434,"France","Lead"
"2418",15636,25,724.76,284,"United Kingdom","Lead"
"105",12475,36,723.38,535,"Germany","Lead"
"3782",17521,45,723.21,519,"United Kingdom","Lead"
"2152",15272,63,721.94,310,"United Kingdom","Lead"
"4172",18062,27,720.52,396,"United Kingdom","Lead"
"2699",16023,101,719.81,358,"United Kingdom","Lead"
"1352",14179,165,719.78,330,"United Kingdom","Lead"
"2153",15274,47,716.57,619,"United Kingdom","Lead"
"152",12535,34,716.35,219,"France","Lead"
"2244",15400,12,716.2,390,"United Kingdom","Lead"
"3432",17029,2,716,400,"United Kingdom","Lead"
"3995",17812,140,715.21,349,"United Kingdom","Lead"
"2193",15330,13,714.96,1312,"United Kingdom","Lead"
"3043",16491,38,714.9,474,"United Kingdom","Lead"
"4045",17884,116,714.499999999999,853,"United Kingdom","Lead"
"2511",15757,45,714.42,491,"United Kingdom","Lead"
"219",12616,32,713.3,284,"France","Lead"
"625",13169,13,712.88,272,"United Kingdom","Lead"
"609",13147,4,712.8,144,"United Kingdom","Lead"
"3961",17761,19,712.78,398,"United Kingdom","Lead"
"801",13416,19,712.5,142,"United Kingdom","Lead"
"926",13587,8,712.4,180,"United Kingdom","Lead"
"3868",17642,40,712.29,474,"United Kingdom","Lead"
"1005",13705,28,711.86,363,"United Kingdom","Lead"
"683",13249,23,711.41,546,"United Kingdom","Lead"
"2363",15561,26,710.89,261,"United Kingdom","Lead"
"3748",17472,181,710.29,462,"United Kingdom","Lead"
"1848",14867,36,710.28,328,"United Kingdom","Lead"
"1313",14127,44,709.71,321,"United Kingdom","Lead"
"2782",16136,37,709.38,440,"United Kingdom","Lead"
"3538",17179,79,708.54,289,"United Kingdom","Lead"
"2648",15951,41,708.22,313,"United Kingdom","Lead"
"3013",16449,40,707.69,367,"United Kingdom","Lead"
"89",12453,43,707.09,473,"Austria","Lead"
"2949",16364,53,707.04,280,"United Kingdom","Lead"
"2905",16309,42,706.57,467,"United Kingdom","Lead"
"1312",14126,15,706.13,508,"United Kingdom","Lead"
"1965",15038,130,705.49,217,"United Kingdom","Lead"
"2692",16015,182,705.39,909,"United Kingdom","Lead"
"1749",14725,50,705.33,588,"United Kingdom","Lead"
"3328",16882,39,705.12,424,"United Kingdom","Lead"
"2368",15568,50,704.34,448,"United Kingdom","Lead"
"4084",17934,21,704.25,478,"United Kingdom","Lead"
"215",12612,19,704.04,262,"Germany","Lead"
"422",12883,42,703.47,196,"United Kingdom","Lead"
"4189",18082,73,703.37,621,"United Kingdom","Lead"
"2017",15103,35,703.36,329,"United Kingdom","Lead"
"2374",15574,168,702.25,349,"United Kingdom","Lead"
"3412",16997,12,702,360,"United Kingdom","Lead"
"1363",14198,39,701.4,290,"United Kingdom","Lead"
"3632",17321,107,700.86,373,"United Kingdom","Lead"
"673",13238,31,700.73,298,"United Kingdom","Lead"
"3943",17734,43,700.63,422,"United Kingdom","Lead"
"2584",15855,79,699.24,466,"United Kingdom","Lead"
"2540",15800,119,699.08,335,"United Kingdom","Lead"
"687",13258,38,698.58,287,"United Kingdom","Lead"
"3710",17423,26,698.41,459,"United Kingdom","Lead"
"3986",17796,82,697.9,178,"United Kingdom","Lead"
"1979",15053,71,697.79,986,"United Kingdom","Lead"
"1822",14829,42,697.55,452,"United Kingdom","Lead"
"2467",15700,86,696.68,357,"United Kingdom","Lead"
"1227",14009,42,695.61,365,"United Kingdom","Lead"
"1910",14959,59,695.42,494,"United Kingdom","Lead"
"2174",15304,23,694.4,104,"United Kingdom","Lead"
"1185",13950,34,694.21,320,"United Kingdom","Lead"
"450",12925,45,694.05,541,"United Kingdom","Lead"
"1688",14643,31,693.81,815,"United Kingdom","Lead"
"52",12410,26,693.33,211,"Switzerland","Lead"
"938",13601,99,693.32,548,"United Kingdom","Lead"
"1303",14111,10,692.85,458,"United Kingdom","Lead"
"3551",17198,96,692.22,357,"United Kingdom","Lead"
"3942",17733,35,692.19,463,"United Kingdom","Lead"
"1104",13838,173,690.48,262,"United Kingdom","Lead"
"2842",16212,41,690.34,244,"United Kingdom","Lead"
"4191",18085,29,689.95,265,"United Kingdom","Lead"
"518",13023,40,689.9,286,"United Kingdom","Lead"
"1856",14880,46,689.59,369,"United Kingdom","Lead"
"2079",15181,16,689.48,544,"United Kingdom","Lead"
"3764",17502,28,689.1,376,"United Kingdom","Lead"
"1072",13799,39,688.86,402,"United Kingdom","Lead"
"3148",16642,34,688.33,479,"United Kingdom","Lead"
"256",12658,36,686.05,320,"Germany","Lead"
"4273",18196,140,685.38,430,"United Kingdom","Lead"
"2771",16122,38,684.42,1128,"United Kingdom","Lead"
"3046",16495,97,684.41,337,"United Kingdom","Lead"
"2445",15669,33,684.34,342,"United Kingdom","Lead"
"462",12942,75,683.9,203,"United Kingdom","Lead"
"1382",14222,41,683.17,607,"United Kingdom","Lead"
"2380",15582,44,682.91,453,"United Kingdom","Lead"
"899",13548,124,682.41,441,"United Kingdom","Lead"
"4227",18135,20,681.91,349,"United Kingdom","Lead"
"108",12478,36,680.99,236,"Greece","Lead"
"886",13524,27,680.18,324,"United Kingdom","Lead"
"3321",16872,7,680.02,600,"United Kingdom","Lead"
"2188",15322,42,679.68,416,"United Kingdom","Lead"
"934",13596,163,679.54,392,"United Kingdom","Lead"
"3690",17397,91,679.46,253,"United Kingdom","Lead"
"813",13430,49,679.45,751,"United Kingdom","Lead"
"1792",14788,30,679.44,421,"United Kingdom","Lead"
"942",13607,98,678.01,290,"United Kingdom","Lead"
"784",13388,35,677.1,282,"United Kingdom","Lead"
"530",13040,43,676.99,355,"United Kingdom","Lead"
"2959",16377,5,676.2,1500,"United Kingdom","Lead"
"2413",15626,49,675.8,766,"United Kingdom","Lead"
"3741",17462,27,675.69,227,"United Kingdom","Lead"
"740",13325,12,675.3,240,"United Kingdom","Lead"
"2990",16418,102,675.27,288,"United Kingdom","Lead"
"762",13355,32,674.7,314,"United Kingdom","Lead"
"834",13464,41,674.68,403,"United Kingdom","Lead"
"3953",17749,35,674.52,320,"United Kingdom","Lead"
"1186",13951,39,674.45,459,"United Kingdom","Lead"
"1587",14504,107,673.26,308,"United Kingdom","Lead"
"4218",18121,32,673.1,450,"United Kingdom","Lead"
"1677",14628,24,671.96,272,"United Kingdom","Lead"
"4044",17883,145,671.769999999999,379,"United Kingdom","Lead"
"237",12638,39,671.69,577,"Sweden","Lead"
"389",12838,121,670.13,355,"United Kingdom","Lead"
"3619",17299,57,669.11,678,"United Kingdom","Lead"
"58",12418,34,668.58,407,"Switzerland","Lead"
"1466",14342,21,668.56,347,"United Kingdom","Lead"
"1034",13741,34,668.43,218,"United Kingdom","Lead"
"2963",16383,102,668.36,475,"United Kingdom","Lead"
"4148",18022,191,668.11,736,"United Kingdom","Lead"
"2881",16268,45,667.65,533,"United Kingdom","Lead"
"2657",15969,20,666.1,124,"United Kingdom","Lead"
"3973",17777,194,665.86,507,"United Kingdom","Lead"
"3489",17105,90,665.78,693,"United Kingdom","Lead"
"2724",16056,68,664.85,347,"United Kingdom","Lead"
"1195",13963,35,664.54,460,"United Kingdom","Lead"
"2838",16208,66,664.26,333,"United Kingdom","Lead"
"2423",15643,33,664,246,"United Kingdom","Lead"
"3101",16573,42,663.61,360,"United Kingdom","Lead"
"2691",16014,145,662.38,265,"United Kingdom","Lead"
"4288",18218,21,662.08,584,"United Kingdom","Lead"
"4129",17994,80,661.54,496,"United Kingdom","Lead"
"3250",16774,48,661.52,322,"United Kingdom","Lead"
"1545",14451,108,661.34,388,"United Kingdom","Lead"
"521",13028,45,661.32,798,"United Kingdom","Lead"
"1662",14603,2,660,400,"United Kingdom","Lead"
"1049",13759,25,659.41,287,"United Kingdom","Lead"
"2942",16357,34,658.88,246,"United Kingdom","Lead"
"675",13240,66,658.7,297,"United Kingdom","Lead"
"1331",14150,26,658.64,496,"United Kingdom","Lead"
"3974",17779,82,658.57,397,"United Kingdom","Lead"
"3186",16696,10,657.9,146,"United Kingdom","Lead"
"184",12577,147,657.8,472,"France","Lead"
"1814",14818,48,657.8,324,"United Kingdom","Lead"
"2427",15648,25,657.35,221,"United Kingdom","Lead"
"3738",17459,111,657.3,537,"United Kingdom","Lead"
"2452",15677,33,657.23,319,"United Kingdom","Lead"
"2798",16157,18,656.69,347,"United Kingdom","Lead"
"537",13049,14,656.68,268,"United Kingdom","Lead"
"3193",16708,27,656.63,285,"United Kingdom","Lead"
"2776",16127,40,656.25,323,"United Kingdom","Lead"
"1868",14894,23,655.75,265,"United Kingdom","Lead"
"3691",17398,38,653.38,310,"United Kingdom","Lead"
"860",13496,35,653.33,341,"United Kingdom","Lead"
"2096",15205,37,653.24,378,"United Kingdom","Lead"
"1252",14044,209,652.819999999999,308,"United Kingdom","Lead"
"1623",14548,4,652.8,256,"United Kingdom","Lead"
"3784",17523,33,652.74,872,"United Kingdom","Lead"
"1244",14034,89,651.82,423,"United Kingdom","Lead"
"3216",16734,53,650.51,346,"United Kingdom","Lead"
"3028",16469,182,650.43,273,"United Kingdom","Lead"
"2371",15571,57,650.43,264,"United Kingdom","Lead"
"3395",16969,42,650.41,816,"United Kingdom","Lead"
"1165",13925,40,648.55,325,"United Kingdom","Lead"
"3671",17373,57,646.92,408,"United Kingdom","Lead"
"1746",14720,36,646.86,218,"United Kingdom","Lead"
"196",12589,35,646.68,306,"France","Lead"
"3799",17545,145,645.96,341,"United Kingdom","Lead"
"1838",14855,20,645.65,267,"United Kingdom","Lead"
"3008",16444,83,644.72,406,"United Kingdom","Lead"
"2310",15492,34,644.46,471,"United Kingdom","Lead"
"880",13518,37,644.44,380,"United Kingdom","Lead"
"3626",17312,14,644.3,372,"United Kingdom","Lead"
"3000",16431,83,642.81,453,"United Kingdom","Lead"
"1234",14020,39,642.8,441,"United Kingdom","Lead"
"526",13034,37,642.77,369,"United Kingdom","Lead"
"3446",17046,22,642.02,510,"United Kingdom","Lead"
"2168",15297,39,641.94,292,"United Kingdom","Lead"
"19",12365,22,641.38,174,"Cyprus","Lead"
"227",12624,38,641.13,355,"France","Lead"
"733",13318,20,640.76,304,"United Kingdom","Lead"
"233",12631,31,640.5,236,"Finland","Lead"
"1439",14301,13,640.14,606,"United Kingdom","Lead"
"2627",15919,143,639.89,545,"United Kingdom","Lead"
"3777",17515,87,639.02,243,"United Kingdom","Lead"
"4239",18151,37,638.35,343,"United Kingdom","Lead"
"1959",15031,109,638.24,399,"United Kingdom","Lead"
"1768",14754,41,638.05,486,"United Kingdom","Lead"
"1705",14664,99,637.89,466,"United Kingdom","Lead"
"1694",14651,101,637.65,343,"United Kingdom","Lead"
"1567",14481,30,636.51,489,"United Kingdom","Lead"
"2564",15829,51,636.14,996,"United Kingdom","Lead"
"2520",15773,10,635.68,311,"United Kingdom","Lead"
"1221",14000,15,635.66,710,"United Kingdom","Lead"
"2783",16139,31,635.41,330,"United Kingdom","Lead"
"4123",17985,23,634.95,183,"United Kingdom","Lead"
"1146",13892,27,632.97,983,"United Kingdom","Lead"
"1380",14220,21,632.4,272,"United Kingdom","Lead"
"2903",16306,41,632.27,487,"United Kingdom","Lead"
"4263",18183,37,632.07,371,"United Kingdom","Lead"
"1093",13822,96,632,611,"United Kingdom","Lead"
"1235",14021,22,631.9,192,"United Kingdom","Lead"
"2128",15244,34,631.57,405,"United Kingdom","Lead"
"896",13539,37,631.34,320,"United Kingdom","Lead"
"2429",15651,31,629.7,475,"United Kingdom","Lead"
"534",13046,35,629.31,264,"United Kingdom","Lead"
"887",13525,6,628.78,394,"United Kingdom","Lead"
"1719",14687,15,628.38,470,"United Kingdom","Lead"
"304",12719,38,628.35,370,"France","Lead"
"2698",16022,76,628.28,261,"United Kingdom","Lead"
"898",13546,98,626.99,359,"United Kingdom","Lead"
"2245",15402,42,626.77,694,"United Kingdom","Lead"
"1246",14036,38,626.65,268,"United Kingdom","Lead"
"1158",13914,33,626.45,380,"United Kingdom","Lead"
"3228",16750,95,623.93,214,"United Kingdom","Lead"
"3203",16718,45,623.75,413,"United Kingdom","Lead"
"4038",17874,44,623.51,202,"United Kingdom","Lead"
"248",12649,31,623.51,586,"Germany","Lead"
"2055",15147,28,623.5,366,"United Kingdom","Lead"
"772",13368,29,623.4,327,"United Kingdom","Lead"
"2140",15258,34,623.16,142,"United Kingdom","Lead"
"4245",18160,38,623.06,282,"United Kingdom","Lead"
"3761",17499,40,622.88,711,"United Kingdom","Lead"
"2080",15182,29,622.85,253,"United Kingdom","Lead"
"1314",14128,45,622.5,552,"United Kingdom","Lead"
"3739",17460,29,622.43,236,"United Kingdom","Lead"
"2518",15768,27,621.83,244,"United Kingdom","Lead"
"4287",18217,31,621.75,491,"United Kingdom","Lead"
"3353",16915,57,621.68,132,"United Kingdom","Lead"
"3867",17640,5,621.66,250,"United Kingdom","Lead"
"1332",14152,49,621.29,711,"United Kingdom","Lead"
"793",13402,39,621.23,479,"United Kingdom","Lead"
"2785",16141,30,620.4,238,"United Kingdom","Lead"
"262",12667,33,620.13,395,"Finland","Lead"
"857",13493,8,618.63,380,"Switzerland","Lead"
"3127",16613,30,618.59,293,"United Kingdom","Lead"
"607",13145,6,618.52,145,"United Kingdom","Lead"
"202",12596,27,618.27,474,"Spain","Lead"
"2780",16134,35,618.09,371,"United Kingdom","Lead"
"720",13301,81,618.09,345,"United Kingdom","Lead"
"1655",14593,152,617.99,332,"United Kingdom","Lead"
"1489",14377,11,617.05,219,"United Kingdom","Lead"
"2906",16311,37,616.26,394,"United Kingdom","Lead"
"1877",14905,17,616.15,287,"United Kingdom","Lead"
"2154",15275,41,615.14,498,"United Kingdom","Lead"
"3095",16566,18,614.66,362,"United Kingdom","Lead"
"2766",16116,34,612.78,248,"United Kingdom","Lead"
"133",12513,35,612.29,462,"France","Lead"
"4237",18149,16,612.08,310,"United Kingdom","Lead"
"2118",15232,31,612.06,686,"United Kingdom","Lead"
"2760",16109,18,611.88,612,"United Kingdom","Lead"
"2682",16005,217,611.639999999999,297,"United Kingdom","Lead"
"1478",14356,32,611.53,271,"United Kingdom","Lead"
"802",13417,27,610.93,160,"United Kingdom","Lead"
"1027",13731,38,610.59,278,"United Kingdom","Lead"
"267",12673,42,610.52,351,"Germany","Lead"
"764",13357,90,609.95,322,"United Kingdom","Lead"
"1682",14636,28,609.85,241,"United Kingdom","Lead"
"3007",16442,173,609.29,440,"United Kingdom","Lead"
"1173",13933,23,608.79,205,"United Kingdom","Lead"
"455",12933,106,607.53,499,"United Kingdom","Lead"
"1492",14382,130,607.32,1222,"United Kingdom","Lead"
"3498",17119,35,606.91,334,"United Kingdom","Lead"
"2373",15573,103,606.2,362,"United Kingdom","Lead"
"1738",14710,139,606.13,378,"United Kingdom","Lead"
"4017",17849,26,605.8,114,"United Kingdom","Lead"
"1318",14133,28,605.64,348,"United Kingdom","Lead"
"1143",13888,40,605.63,258,"United Kingdom","Lead"
"3769",17507,88,605.58,359,"United Kingdom","Lead"
"670",13233,43,605.12,1004,"United Kingdom","Lead"
"1606",14529,228,605.09,347,"United Kingdom","Lead"
"1452",14323,36,605.06,350,"United Kingdom","Lead"
"905",13558,175,605.06,344,"United Kingdom","Lead"
"3886",17664,43,604.64,604,"United Kingdom","Lead"
"463",12944,30,604.51,289,"United Kingdom","Lead"
"3215",16732,28,603.75,317,"United Kingdom","Lead"
"167",12556,121,603.71,358,"Spain","Lead"
"2231",15384,40,603.41,584,"United Kingdom","Lead"
"3595",17259,124,603.37,410,"United Kingdom","Lead"
"2219",15366,44,602.51,621,"United Kingdom","Lead"
"4051",17890,94,602.09,416,"United Kingdom","Lead"
"253",12654,38,601.98,264,"Germany","Lead"
"1666",14609,4,601.56,7026,"United Kingdom","Lead"
"3156",16654,29,601.27,282,"United Kingdom","Lead"
"1713",14675,101,601,338,"United Kingdom","Lead"
"59",12420,29,600.39,345,"Cyprus","Lead"
"677",13243,58,600.07,233,"United Kingdom","Lead"
"4282",18211,42,600.07,359,"United Kingdom","Lead"
"413",12872,66,599.97,319,"United Kingdom","Lead"
"141",12521,38,599.68,309,"Germany","Lead"
"1916",14965,83,599,365,"United Kingdom","Lead"
"3708",17420,30,598.83,265,"United Kingdom","Lead"
"1557",14467,90,598.76,278,"United Kingdom","Lead"
"2482",15720,128,598.73,281,"United Kingdom","Lead"
"1192",13959,92,598.2,357,"United Kingdom","Lead"
"2899",16298,27,598.2,198,"United Kingdom","Lead"
"1300",14108,34,597.91,381,"United Kingdom","Lead"
"3260",16788,155,597.48,311,"United Kingdom","Lead"
"1690",14645,30,597.09,381,"United Kingdom","Lead"
"2229",15381,8,596.85,171,"United Kingdom","Lead"
"4312",18246,4,596.1,166,"United Kingdom","Lead"
"3882",17658,19,595.42,616,"United Kingdom","Lead"
"1424",14284,32,595.25,161,"United Kingdom","Lead"
"2918",16325,18,594.24,194,"United Kingdom","Lead"
"443",12917,2,594,120,"United Kingdom","Lead"
"2274",15442,2,594,120,"United Kingdom","Lead"
"3075",16535,31,593.75,356,"United Kingdom","Lead"
"2536",15795,41,593.06,580,"United Kingdom","Lead"
"4302",18232,37,592.97,302,"United Kingdom","Lead"
"2833",16203,35,592.9,262,"United Kingdom","Lead"
"4127",17990,28,591.84,402,"United Kingdom","Lead"
"1724",14692,68,591.55,265,"United Kingdom","Lead"
"702",13276,30,590.93,161,"United Kingdom","Lead"
"698",13270,1,590,200,"United Kingdom","Lead"
"826",13452,2,590,2,"United Kingdom","Lead"
"1858",14882,11,589.7,158,"United Kingdom","Lead"
"4220",18123,36,589.44,594,"United Kingdom","Lead"
"3208",16723,43,589.15,399,"United Kingdom","Lead"
"3300",16838,25,588.85,185,"United Kingdom","Lead"
"1462",14338,31,588.22,335,"United Kingdom","Lead"
"2411",15624,34,588.13,357,"United Kingdom","Lead"
"3654",17351,27,587.15,113,"United Kingdom","Lead"
"2425",15645,51,587.01,236,"United Kingdom","Lead"
"3422",17014,74,586.33,245,"United Kingdom","Lead"
"3661",17360,132,585.79,335,"United Kingdom","Lead"
"293",12707,32,585.72,250,"France","Lead"
"33",12384,27,585.27,126,"Switzerland","Lead"
"2110",15222,5,585,440,"United Kingdom","Lead"
"2964",16384,33,584.5,260,"United Kingdom","Lead"
"2733",16072,23,584.32,140,"United Kingdom","Lead"
"1237",14023,31,584.07,345,"United Kingdom","Lead"
"904",13557,34,584.06,546,"United Kingdom","Lead"
"2514",15762,37,583.75,251,"United Kingdom","Lead"
"65",12426,30,582.73,258,"Germany","Lead"
"810",13427,29,582.6,545,"United Kingdom","Lead"
"285",12695,27,582.1,220,"France","Lead"
"728",13311,25,581.62,304,"United Kingdom","Lead"
"4198",18095,21,580.05,419,"United Kingdom","Lead"
"3346",16906,93,579.77,281,"United Kingdom","Lead"
"3513",17142,15,579,81,"United Kingdom","Lead"
"712",13292,31,578.94,347,"United Kingdom","Lead"
"3797",17540,25,578.9,194,"United Kingdom","Lead"
"207",12601,28,577.06,245,"Germany","Lead"
"1349",14176,31,576.9,209,"United Kingdom","Lead"
"3354",16916,143,576.26,440,"United Kingdom","Lead"
"2565",15830,39,576,415,"United Kingdom","Lead"
"2355",15550,61,575.63,295,"United Kingdom","Lead"
"2932",16345,38,575.41,289,"United Kingdom","Lead"
"852",13487,34,575.4,265,"United Kingdom","Lead"
"1344",14167,52,574.84,150,"United Kingdom","Lead"
"1504",14400,25,574.7,454,"United Kingdom","Lead"
"351",12784,59,574.42,300,"Portugal","Lead"
"2198",15339,86,574.07,416,"United Kingdom","Lead"
"2173",15303,31,574.02,248,"United Kingdom","Lead"
"419",12879,10,573.22,370,"United Kingdom","Lead"
"2254",15415,48,572.81,575,"United Kingdom","Lead"
"4030",17864,100,572.6,804,"United Kingdom","Lead"
"779",13379,97,572.56,601,"United Kingdom","Lead"
"796",13405,27,572.451,165,"United Kingdom","Lead"
"370",12816,29,572.2,128,"Poland","Lead"
"1089",13816,28,571.67,269,"Germany","Lead"
"3850",17616,3,571.2,224,"United Kingdom","Lead"
"2182",15315,37,570.5,862,"United Kingdom","Lead"
"1654",14592,164,570.46,415,"United Kingdom","Lead"
"1178",13939,45,568.55,847,"United Kingdom","Lead"
"1957",15028,47,568.13,439,"United Kingdom","Lead"
"736",13321,11,567.36,372,"United Kingdom","Lead"
"4058",17897,114,566.6,229,"United Kingdom","Lead"
"4238",18150,37,566.58,332,"United Kingdom","Lead"
"2888",16278,23,566.38,114,"United Kingdom","Lead"
"1148",13894,27,564.62,354,"United Kingdom","Lead"
"2202",15344,26,563.94,116,"United Kingdom","Lead"
"3368",16933,44,563.23,288,"United Kingdom","Lead"
"1767",14753,30,563.15,211,"United Kingdom","Lead"
"3598",17265,127,562.9,394,"United Kingdom","Lead"
"55",12414,18,562.41,300,"Austria","Lead"
"1181",13946,11,561.57,443,"United Kingdom","Lead"
"2433",15655,34,560.67,324,"United Kingdom","Lead"
"532",13044,33,560.47,429,"United Kingdom","Lead"
"1419",14273,29,559.97,264,"United Kingdom","Lead"
"2886",16275,33,559.87,336,"United Kingdom","Lead"
"1350",14177,42,559.41,205,"United Kingdom","Lead"
"409",12866,26,559.12,171,"Belgium","Lead"
"3765",17503,38,558.96,486,"United Kingdom","Lead"
"491",12987,28,558.7,219,"United Kingdom","Lead"
"1073",13800,33,558.32,331,"United Kingdom","Lead"
"689",13260,8,557.62,142,"United Kingdom","Lead"
"4099",17955,19,557.3,273,"United Kingdom","Lead"
"3616",17295,69,556.95,294,"United Kingdom","Lead"
"2965",16385,59,555.89,261,"United Kingdom","Lead"
"1866",14891,33,554.38,505,"United Kingdom","Lead"
"2558",15821,61,554.01,201,"United Kingdom","Lead"
"4161",18043,120,553.61,280,"United Kingdom","Lead"
"1668",14618,16,553.44,264,"United Kingdom","Lead"
"1991",15068,104,553.36,364,"United Kingdom","Lead"
"4112",17970,30,553.34,516,"United Kingdom","Lead"
"17",12363,23,552,408,"Unspecified","Lead"
"3895",17674,27,551.04,672,"United Kingdom","Lead"
"3614",17291,1,550.8,72,"United Kingdom","Lead"
"3165",16667,52,550.23,235,"United Kingdom","Lead"
"3076",16536,55,548.97,251,"United Kingdom","Lead"
"2706",16031,100,548.94,423,"United Kingdom","Lead"
"1561",14474,29,547.66,140,"United Kingdom","Lead"
"3279",16811,28,547.07,477,"United Kingdom","Lead"
"3865",17637,35,547.06,280,"United Kingdom","Lead"
"2841",16211,23,547.02,154,"United Kingdom","Lead"
"3781",17520,30,546.81,365,"United Kingdom","Lead"
"2927",16340,152,546.57,499,"United Kingdom","Lead"
"324",12743,134,546.43,319,"Unspecified","Lead"
"1934",14997,26,546.2,1120,"United Kingdom","Lead"
"3992",17806,43,546.04,727,"United Kingdom","Lead"
"358",12793,24,545.48,295,"Portugal","Lead"
"3033",16475,28,544.3,319,"United Kingdom","Lead"
"947",13617,44,544.18,300,"United Kingdom","Lead"
"786",13390,13,544.08,224,"United Kingdom","Lead"
"170",12559,20,544.01,277,"Germany","Lead"
"3362",16927,6,543.05,993,"United Kingdom","Lead"
"704",13278,46,542.73,537,"United Kingdom","Lead"
"2856",16230,35,542.03,365,"United Kingdom","Lead"
"3728",17447,36,541.53,443,"United Kingdom","Lead"
"3809",17557,34,541.46,306,"United Kingdom","Lead"
"1130",13874,18,540.45,180,"United Kingdom","Lead"
"1085",13812,36,539,333,"Germany","Lead"
"1579",14496,19,538.81,159,"United Kingdom","Lead"
"2282",15452,58,538.73,283,"United Kingdom","Lead"
"2296",15469,24,538.55,153,"United Kingdom","Lead"
"2347",15539,41,538.46,410,"United Kingdom","Lead"
"3459",17062,70,538.37,430,"United Kingdom","Lead"
"1615",14539,32,537.48,428,"United Kingdom","Lead"
"1969",15043,3,537,300,"United Kingdom","Lead"
"3272",16804,60,536.99,246,"United Kingdom","Lead"
"2858",16233,22,536.68,174,"United Kingdom","Lead"
"2786",16142,37,535.34,422,"United Kingdom","Lead"
"492",12988,92,535.32,136,"United Kingdom","Lead"
"501",13000,31,534.85,379,"United Kingdom","Lead"
"783",13385,35,534.57,281,"United Kingdom","Lead"
"815",13434,10,534.24,300,"United Kingdom","Lead"
"3725",17443,1,534.24,504,"Canada","Lead"
"2836",16206,62,534.11,271,"United Kingdom","Lead"
"657",13217,4,533.98,262,"United Kingdom","Lead"
"2267",15433,41,533.3,534,"United Kingdom","Lead"
"2561",15825,20,532.94,220,"United Kingdom","Lead"
"36",12390,31,532.89,352,"Belgium","Lead"
"3648",17345,86,532.64,344,"United Kingdom","Lead"
"2345",15535,74,531.3,141,"United Kingdom","Lead"
"4244",18159,23,530.15,139,"United Kingdom","Lead"
"1223",14002,47,529.73,877,"United Kingdom","Lead"
"2510",15756,191,529.71,241,"United Kingdom","Lead"
"1554",14463,6,529.62,179,"United Kingdom","Lead"
"2821",16185,31,529.41,260,"United Kingdom","Lead"
"3861",17631,39,528.33,334,"United Kingdom","Lead"
"3120",16602,29,528.08,336,"United Kingdom","Lead"
"109",12479,31,527.2,385,"Germany","Lead"
"3855",17623,33,527.05,265,"United Kingdom","Lead"
"4317",18252,98,526.67,239,"United Kingdom","Lead"
"3715",17429,39,524.92,624,"United Kingdom","Lead"
"2294",15467,52,524.88,310,"United Kingdom","Lead"
